Country,Group,Female Count,Femaie Percent,Male Count,Male Percent,Total Count,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
Argentina,Latin American and Caribbean States,3,21.43%,11,78.57%,14,5ed5136868235a1f35484bf4,ARGENTINA,Argentina,Argentina,Republic of Argentina,"Permanent Mission of Argentina
to the United Nations
One United Nations Plaza, 25th Floor
New York, NY 10017",212-688-6300,212-980-8395,10/24/45,25-May,1,,www.enaun.mrecic.gov.ar,,enaun@mrecic.gov.ar,Spanish
Belarus,Eastern European States,1,11.11%,8,88.89%,9,5ed5136868235a1f35484bfd,BELARUS,Belarus,Belarus,Republic of Belarus,"Permanent Mission of the Republic
of Belarus to the United Nations
136 East 67th Street, 4th Floor
New York, NY 10065",212-535-3420,212-734-4810,10/24/45,"Independence Day, 3 July",1,,www.un.int/belarus,,usaun@mfa.gov.by,English
Brazil,Latin American and Caribbean States,17,36.17%,30,63.83%,47,5ed5136868235a1f35484c05,BRAZIL,Brazil,Brazil,Federative Republic of Brazil,"Permanent Mission of Brazil
to the United Nations
747 Third Avenue, 9th Floor
New York, NY 10017","212-372-2600
212-832-6868",212-371-5716,10/24/45,"Independence Day, 7 September",1,,www.un.int/brazil,,distri.delbrasonu@itamaraty.gov.br,English
Chile,Latin American and Caribbean States,8,61.54%,5,38.46%,13,5ed5136868235a1f35484c10,CHILE,Chile,Chile,Republic of Chile,"Permanent Mission of Chile
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 40th Floor
New York, NY 10017",917-322-6800,,10/24/45,"National Day, 18 September",1,,chile.gob.cl/onu/en,Twitter: @ChileONU,chile.un@minrel.gob.cl,Spanish
China,Asia-Pacific States,29,32.22%,61,67.78%,90,5ed5136868235a1f35484c11,CHINA,China,China,People's Republic of China,"Permanent Mission of the People’s Republic
of China to the United Nations
350 East 35th Street
New York, NY 10016",212-655-6100,"212-634-7626 (General)
212-634-0042 (Permanent Representative's Office)
212-634-7625 (Political Section)
212-220-6543 (Press Section)",10/24/45,"National Day, 1 October",1,,http://chnun.chinamission.org.cn/chn/,,chinesemission@yahoo.com,English
Cuba,Latin American and Caribbean States,12,27.27%,32,72.73%,44,5ed5136868235a1f35484c18,CUBA,Cuba,Cuba,Republic of Cuba,"Permanent Mission of Cuba
to the United Nations
315 Lexington Avenue
New York, NY 10016","212-689-7215
212-689-7216
212-689-7217","212-779-1697
212-689-9073",10/24/45,"Anniversary of the Revolution, 1 January",1,,www.cubadiplomatica.cu/onu,,cuba_onu@cubanmission.com,Spanish
Denmark,Western European and other States,10,45.45%,12,54.55%,22,5ed5136868235a1f35484c1d,DENMARK,Denmark,Denmark,Kingdom of Denmark,"Permanent Mission of Denmark
to the United Nations
Chrysler East Building
666 Third Avenue, 11th Floor
New York, NY 10017",212-308-7009,,10/24/45,"Birthday of the King, 26 May",1,,www.fnnewyork.um.dk/en,,nycmis@um.dk,English
Dominican Republic,Latin American and Caribbean States,10,55.56%,8,44.44%,18,5ed5136868235a1f35484c20,DOMINICAN REPUBLIC,Dominican Republic,Dominican Republic,Dominican Republic,"Permanent Mission of the Dominican Republic to the United Nations
144 East 44th Street, 4th Floor
New York, NY 10017","212-867-0833
212-867-0834
212-661-2432",212-986-4694,10/24/45,"Independence Day, 27 February",1,,,,mision.onu.ny@mirex.gob.do,Spanish
Egypt,African States,2,9.52%,19,90.48%,21,5ed5136868235a1f35484c22,EGYPT,Egypt,Egypt,Arab Republic of Egypt,"Permanent Mission of the Arab Republic
of Egypt to the United Nations
304 East 44th Street
New York, NY 10017",212-503-0300,212-949-5999,10/24/45,"National Day, 23 July",1,,,,mission@egyptmissionny.com,English
El Salvador,Latin American and Caribbean States,9,69.23%,4,30.77%,13,5ed5136868235a1f35484c23,EL SALVADOR,El Salvador,El Salvador,Republic of El Salvador,"Permanent Mission of El Salvador
to the United Nations
46 Park Avenue
New York, NY 10016","212-679-1616
212-679-1617",212-725-3467,10/24/45,"Independence Day, 15 September",1,,,,"elsalvador@un.int
",Spanish
France,Western European and other States,14,31.11%,31,68.89%,45,5ed5136868235a1f35484c2b,FRANCE,France,France,Republic of France,"Permanent Mission of France
to the United Nations
One Dag Hammarskjöld Plaza
245 East 47th Street, 44th Floor
New York, NY 10017",212-702-4900,,10/24/45,"National Day, 14 July",1,,,,france@franceonu.org,French
Haiti,Latin American and Caribbean States,8,50.00%,8,50.00%,16,5ed5136868235a1f35484c37,HAITI,Haiti,Haiti,Republic of Haiti,"Permanent Mission of Haiti
to the United Nations
228 East 45th Street, 10th Floor
New York, NY 10017",212-370-4840,212-661-8698,10/24/45,"Independence Day, 1 January",1,,,,mphonu.newyork@diplomatie.ht,French
Iran (Islamic Republic of),Asia-Pacific States,2,13.33%,13,86.67%,15,5ed5136868235a1f35484c3d,IRAN (ISLAMIC REPUBLIC OF),Iran (Islamic Republic of),Iran (Islamic Republic of),Islamic Republic of Iran,"Permanent Mission of the Islamic Republic
of Iran to the United Nations
622 Third Avenue, 34th Floor
New York, NY 10017",212-687-2020,212-867-7086,10/24/45,11-Feb,1,,http://newyork.mfa.ir/,,Iranunny@mfa.gov.ir,English
Lebanon,Asia-Pacific States,3,60.00%,2,40.00%,5,5ed5136868235a1f35484c4c,LEBANON,Lebanon,Lebanon,Republic of Lebanon,"Permanent Mission of Lebanon
to the United Nations
866 United Nations Plaza, Room 531-533
New York, NY 10017",212-355-5460,"
",10/24/45,"Independence Day, 22 November",1,,https://www.un.int/lebanon,,contact@lebanonun.org,English
Luxembourg,Western European and other States,5,71.43%,2,28.57%,7,5ed5136868235a1f35484c52,LUXEMBOURG,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,"Permanent Mission of Luxembourg
to the United Nations
17 Beekman Place
New York, NY 10022",212-935-3589,212-935-5896,10/24/45,23-Jun,1,,newyork-un.mae.lu/en,Twitter: @luxembourgUN,newyork.rp@mae.etat.lu,French
New Zealand,Western European and other States,4,57.14%,3,42.86%,7,5ed5136868235a1f35484c68,NEW ZEALAND,New Zealand,New Zealand,New Zealand,"Permanent Mission of New Zealand
to the United Nations
600 Third Avenue, 14th Floor
New York, NY 10016",212-826-1960,212-758-0827,10/24/45,"Waitangi Day, 6 February",1,,,,nzpmun@gmail.com,English
Nicaragua,Latin American and Caribbean States,4,66.67%,2,33.33%,6,5ed5136868235a1f35484c69,NICARAGUA,Nicaragua,Nicaragua,Republic of Nicaragua,"Permanent Mission of Nicaragua
to the United Nations
820 Second Avenue, 8th Floor
New York, NY 10017",212-490-7997,212-286-0815,10/24/45,"Independence Day, 15 September",1,,,,nicaraguaunny@yahoo.com,Spanish
